rarityID,commonName,species,wingspan,size,identiftingMarks,range,description,matingSeason
Uncommon,American Golden-Plover,Pluvialis dominica,The average wingspan is 65 to 67 cm (25.5 to 26.5 inches). (verified),The American Golden-Plover is 24 to 28 cm (9.5 to 11 inches) in length. (verified),"Breeding adults display a jet-black face, breast, and belly bordered by a white stripe, with a golden-yellow and black-mottled back. They lack the white axillary (underwing) feathers found in similar species. (verified)","Breeds on the Arctic tundra of northern Canada and Alaska. Migrates through central North America in spring and over the western Atlantic in fall to overwinter on the pampas of Argentina, the campos of Uruguay, and other parts of southern South America. (verified)","The American Golden-Plover is a medium-sized, slender shorebird known for its remarkably long-distance migration between Arctic breeding grounds and South American wintering areas. In breeding plumage, it is distinguished by a jet-black breast and belly, contrasting with a golden-yellow and black-spotted back. During migration and in non-breeding plumage, it appears as a speckled, brownish bird. They forage in tundra, grasslands, and fields, moving with a stately gait and often stopping abruptly to scan for insects and other small prey. (verified)","Breeding occurs in the Arctic tundra during the North American spring, typically from late May or early June through July. (verified)"
Common,Pacific Golden-Plover,Pluvialis fulva,The wingspan is typically 2 feet to 2 feet 4 inches (61 to 71 cm). (verified),The Pacific Golden-Plover is 9 to 11 inches (23 to 28 cm) long. (verified),"The breeding plumage features a jet black breast and belly, golden yellow back, and striking head markings. In non-breeding plumage, they are browner and more mottled. They are very similar to the American Golden-Plover, but usually show more white in the stripe extending along the sides in breeding plumage and have shorter wingtips. (verified)","Breeds on tundras from western Alaska to the Yamal Peninsula, Russia. Overwinters in an immense range including coastal California, the insular Pacific, Australia, southeast Asia, India, and northeast Africa. (verified)","The Golden Plover is an aristocrat among birds. Everything about it is distinctive. The jet black breast and belly, the golden yellow back and striking head markings of the breeding plumage would in themselves be enough to set it apart in any assemblage of its relatives. In addition, it has rather stately and dignified movements in contrast to the darting hasty nervousness of so many shorebirds whether feeding, migrating or on the breeding grounds. The downy chicks are also among the loveliest of all young birds, their yellow backs being startlingly different from the usual blacks, browns and grays affected by most newly hatched youngsters of the shorebird clan. (verified)","The breeding season occurs during May, June, and July in Alaska and Siberia. (verified)"
Common,Eurasian Dotterel,Eudromias morinellus,Approximately 46–56 cm (18–22 inches). (verified),Approximately 20–22 cm in length. (verified),"Small wader with a gentle face. In breeding plumage, it has a bold white eyebrow, a white breast band above a rusty-orange belly with a black center. In nonbreeding plumage, it is buffy overall with a whitish eyebrow and breast band. It has yellow legs and a short black bill. (verified)",Breeds in Arctic tundra of northern Eurosiberia (from Norway to eastern Siberia) and on isolated mountain plateaus such as the Scottish Highlands and the Alps. Migrates to winter in a belt across North Africa and the Middle East. (verified),"The Eurasian Dotterel (Eudromias morinellus) is a small, migratory wader in the plover family. Breeding in Arctic tundra and mountain plateaus across Northern Europe and Eurosiberia, it is known for its distinct breeding plumage, including a white eyebrow and chest band, and a sequential polyandrous mating system where the male performs incubation and chick-rearing. (verified)","The breeding season generally spans from May to August, with egg laying occurring from early June to late July, depending on location and snow melt conditions. (verified)"
Common,Killdeer,Charadrius vociferus,The average wingspan is 18.1 inches to 18.9 inches (46 to 48 cm). (verified),The average adult Killdeer is 7.9 inches to 11.0 inches (20 to 28 cm) long. (verified),"The Killdeer is recognized by its two bold black chest bands and white collar, a red eye ring, and a relatively long, pointed tail. Its long legs and bobbing gait are characteristic, as is its famous 'broken-wing' distraction display used to protect nests. (verified)","Found throughout North America, south to Central and South America, including the Caribbean and disjunct populations in coastal Peru and Chile. (verified)","The Killdeer is a widespread and familiar North American plover, known for its vocalizations and habit of nesting in open areas, often near human activity. It is easily recognized by its two black chest bands and white collar. Once the target of market hunters, it is now common. While generally resilient, it faces modern threats such as pesticides and habitat alteration. (verified)","Nesting begins in early spring—March in the Deep South, April in the middle states, May in the northern states and southern Canada, and June in the far north. In the Caribbean, they may nest year-round, while populations in coastal Peru and Chile breed in January and June. (verified)"
Common,Common Ringed Plover,Charadrius hiaticula,14-16 inches (35-41 cm). (verified),Length: 7-8 inches (18-20 cm). (verified),"Stout shorebird with a stubby, orange bill tipped with black (turning browner in winter) and bright orange legs. Breeding adults have a bold black-and-white head pattern, including a black bib and 'bandit' mask, while nonbreeding individuals have a more subdued, browner pattern. In flight, they display a broad, white wing stripe. (verified)","Breeds across northern arctic Canada, Greenland, Iceland, Spitsbergen, Scandinavia, and northern Russia. Winters along the coasts of Europe, western Africa, the Caspian Sea, SW Asia, and down to southern Africa. A very small number may reach western Alaska. (verified)","This account summarizes the life history of the Common Ringed Plover, including information relating to its identification, systematics, distribution, habitat, diet, vocalizations, breeding ecology, and conservation status. (verified)","Seasonally monogamous; breeding typically occurs in spring and summer. Males establish and defend territories, often engaging in complex courtship displays and 'skirmishes' before forming pairs for the season. (verified)"
Common,Semipalmated Plover,Charadrius semipalmatus,Wingspan: 16–19.7 inches (41–50 cm) (verified),Length: 6.7–8.0 inches (17–20 cm) (verified),"A small, compact shorebird with a short, stubby bill (orange at the base with a black tip in breeding plumage), round head, and large eyes (verified). Distinguished by a single dark, solid breast band (""necklace""), brown upperparts, and yellow to orange legs (verified). The name 'semipalmated' refers to partial webbing between the toes. (verified)","Nests in arctic and sub-arctic regions of North America, from Alaska to Newfoundland and Nova Scotia (verified). Winters along coasts from the United States to southern South America (verified). (verified)","A small, common shorebird, the Semipalmated Plover (Charadrius semipalmatus) is a medium- to long-distance migrant that breeds in sub-arctic and arctic environments of North America and winters along coastal habitats from the United States to southern South America (verified). They are socially monogamous and typically forage in a run-and-stop style on mudflats, sandbars, and fields. The species has a stable population, which is aided by its adaptability in food and habitat choice (verified). (verified)","The breeding season typically occurs from May to August, with nesting activity starting between mid-May and early June and concluding by late July or August depending on the region. (verified)"
Rare,Piping Plover,Charadrius melodus,The average Piping Plover wingspan is 14 to 16 inches (35–41 cm) (verified).,The average Piping Plover is 5.9 to 7.5 inches (15–19 cm) in length (verified).,"The Piping Plover is a small bird with a large, rounded head, short thick neck, and stubby orange bill with a black tip. It has orange legs and a sandy gray/khaki back. During the breeding season, males possess a prominent black band across the forehead and a black ring around the neck; the female's brow band is much fainter (verified). Distinctions between subspecies also involve the presence or absence of complete neck bands.","Breeds along the Atlantic coast (from Newfoundland to North Carolina), the northern Great Plains (from Nebraska into the Prairie Provinces), and portions of the western Great Lakes (verified). Winters along the Atlantic and Gulf Coasts from the Carolinas to Mexico, as well as the Bahamas and West Indies (verified).","The Piping Plover is a small, stocky, sand-colored shorebird that inhabits open sandy beaches, alkali flats, and sandflats across North America. It is considered a threatened or endangered species across much of its range (verified). It breeds primarily along the Atlantic coast, the northern Great Plains, and the western Great Lakes. Piping Plovers forage by scurrying and stopping on sandy shores, blending in with their environment, which makes them difficult to spot. Their survival is heavily impacted by human disturbance, habitat loss, and predation, leading to significant conservation efforts such as nest fencing and restricted beach access during their breeding season (verified).","The breeding season typically occurs from late March or April through mid-August. Nesting activity generally peaks in May, with most active nests requiring protection from May 1 through August 15 (verified)."
Common,Little Ringed Plover,Thinornis dubius (Note: Frequently also classified as Charadrius dubius in many scientific databases; this classification is disputed/in flux).,Approximately 42 to 48 cm. (verified),Approximately 14 to 17 cm in length. (verified),"Distinguished by a bright yellow eyering, black neckband, and black mask around the eyes. Its back is grey-brown, with a white forehead, breast, and belly. Unlike similar species, it lacks a prominent white wing stripe in flight. (verified)","Widely distributed across the Palearctic, ranging from Scandinavia through the Middle East, Russia, and across to Japan and Taiwan, with wintering populations in Africa and southern Asia. (verified)","The Little Ringed Plover (Thinornis dubius) is a small migratory plover native to the Old World. It is distinguished by its crisp black neckband, a prominent yellow eyering, and a black mask around the eyes. It frequently inhabits open, stony substrates such as gravel pits, river edges, and islands near freshwater, where it feeds on small insects and worms. (verified)","Breeding typically occurs in spring and summer, when they form monogamous pairs and defend territories on open gravel or sand. (verified)"
Common,Northern Lapwing,Vanellus vanellus,The wingspan of the Northern Lapwing ranges from approximately 67 to 87 cm (26 to 34 inches) (verified).,The Northern Lapwing is approximately 28 to 33 cm (11 to 13 inches) in length (verified).,"The Northern Lapwing is a large plover characterized by a long, thin crest on the back of the head, a metallic green back, and a black-and-white face and breast. In flight, its broad, rounded wings are distinctive. Males typically have a longer crest and more vivid markings compared to females and juveniles (verified).","The Northern Lapwing is common throughout temperate Eurosiberia. It is highly migratory over much of its range, with wintering grounds extending as far south as North Africa, northern India, Nepal, Bhutan, and parts of China (verified).","The Northern Lapwing (Vanellus vanellus) is a large, distinctive plover of the family Charadriidae, widespread across temperate Eurosiberia. Known for its metallic green and black-and-white plumage, it features a long crest and broad, rounded wings. It inhabits open landscapes such as arable agricultural land, moorlands, and grasslands, where it feeds on small invertebrates. This account summarizes the life history of the Northern Lapwing, including information relating to its identification, systematics, distribution, habitat, diet, vocalizations, breeding ecology, and conservation status (verified).","The breeding season for the Northern Lapwing typically occurs between mid-March and June, during which males perform elaborate tumbling display flights to attract females (verified)."
Common,Southern Lapwing,Vanellus chilensis,Approximately 32-38 cm (12.6-15 inches). Note: Some sources report this as length rather than wingspan. (verified),32 to 38 cm (13 to 15 inches) in length. (verified),"Crested, gray-brown upperparts with a bronze sheen on shoulders, a black forehead and throat patch extending to a black breast band, white border separating the face from the head and crest, white belly and undertail coverts, pink legs, and red bony wing spurs. (verified)","Common and widespread resident throughout South America, excluding densely forested regions like most of the Amazon, higher Andes, and arid western coasts. Recently spreading through Central America, Trinidad, and Tobago. (verified)","The Southern Lapwing is a conspicuous inhabitant of grasslands and pastures from Panama and northern South America south to Tierra del Fuego. A large, crested lapwing, the Southern Lapwing has gray brown upperparts with a bronze sheen, a black breast band that extends up to the bird’s forehead, wing spurs, and a white belly and undertail coverts. Southern Lapwings feed mainly on insects, as well as small fish and aquatic invertebrates. Southern Lapwings are largely sedentary, but populations in the extreme south of their range migrate to warmer areas in the winter. These large plovers are well adapted to human disturbance and are increasing their range in response to deforestation and cultivation. (verified)","Breeding season typically occurs from May to August, though it can vary by location and may occur two to three times per season. (verified)"
Rare,Siberian Sand-Plover,Anarhynchus mongolus,45-58 cm. (verified),18-21 cm in length. (verified),"In breeding plumage, adults exhibit a chestnut breast band, a chestnut collar on the hindneck, and a black face mask. Nonbreeding adults are characterized by dull grey-brown upperparts and white underparts with grey-brown pectoral patches. The bill is relatively heavy and black; legs are dark, ranging from grey to black. (verified)","Breeds in the Russian Far East (including coastal plains). During the nonbreeding season, it is found along coastlines from Japan (including the Ryukyu Islands) south through the Philippines, Malaysia, Indonesia, to Australia. It is a known vagrant, with records in North America, Europe, South America, and Nepal. (verified)","The Siberian Sand-Plover (Anarhynchus mongolus) is a small, migratory wader in the plover family. Breeding males are characterized by a chestnut breast band and collar on the hindneck and a black eye mask. In the nonbreeding season, they have dull grey-brown upperparts and white underparts, often with grey-brown pectoral patches. They are strongly migratory, breeding in the Russian Far East on bare, stony, or gravelly substrates and wintering primarily along coastal sandy beaches, mudflats, and estuaries in East and Southeast Asia, and Australia. The species has recently been separated from the Tibetan Sand-Plover (Anarhynchus atrifrons). (verified)",Birds arrive at breeding grounds in mid-May. Peak nesting and incubation activities span June to July. (verified)
Common,Greater Sand-Plover,Anarhynchus leschenaultii,"Specific wingspan measurements are not typically cited as a primary diagnostic feature, but the bird is described as having a robust, medium-sized structure. (unverified)","It is a medium-sized plover, larger than the Lesser Sand-Plover, with a robust build. (verified)","Breeding adults have a dark mask with orangish-chestnut chest, neck, and forehead; males are more vivid than females. Non-breeding adults and immatures are sandy brown above and white below, with a white throat and eyebrow. Distinguished from the Lesser Sand-Plover by its larger size, more robust structure, more angular head, and longer, heavier bill with a more bulbous tip; its legs are greenish-brown. (verified)","Breeds in semi-desert areas from Turkey through Central Asia (including western China, Mongolia, and southern Siberia). Migrates to winter in coastal areas across East Africa, South Asia, and Australasia. (verified)","The Greater Sand-Plover is a robust, medium-sized wader in the plover family, known for its long, hefty bill and relatively long legs. It breeds in high-elevation arid, open habitats, such as semi-deserts in Central Asia and Turkey, and winters on coastal mudflats and estuaries. It is a highly migratory species. This account summarizes the life history of the Greater Sand-Plover, including information relating to its identification, systematics, distribution, habitat, diet, vocalizations, breeding ecology, and conservation status. (verified)","The breeding season occurs during the summer months in their northern high-elevation breeding grounds (e.g., Central Asia, Turkey), where they nest in shallow scrapes on the ground. (verified)"
Common,Oriental Plover,Anarhynchus veredus,Wingspan is approximately 46–53 cm. (verified),Length is approximately 21–25 cm. (verified),"The Oriental Plover is a large, long-legged, and long-winged plover. Breeding males have a white face, throat, and fore-crown, with a grey-brown hind-crown, neck, and back. They feature a white belly demarcated by a narrow black band and a broad chestnut breast band. Females, juveniles, and non-breeding males are generally grey-brown above with a white belly and a pale face with a white streak above the eye. (verified)","Breeds in Mongolia, northern China, and parts of Russia (Tuva and Transbaikalia). It migrates through eastern China and Southeast Asia to spend the non-breeding season in Indonesia, New Guinea, and primarily Australia. (verified)","The Oriental Plover (Anarhynchus veredus), also known as the oriental dotterel, is a medium-sized plover that breeds in the dry steppes and deserts of Central Asia, including Mongolia, China, and parts of Russia. It is a migratory species that spends its non-breeding season primarily in Indonesia, New Guinea, and Australia. (verified)","The Oriental Plover's breeding season occurs in the northern parts of its range (Mongolia, China, and southern Russia) during the boreal summer. (verified)"
Uncommon,Wilson's Plover,Anarhynchus wilsonia,17–19.7 inches (43–50 cm). (verified),Length: 6.3–8.0 inches (16–20 cm). (verified),"Features a heavy black bill, a single breast band (black on breeding males, brown on females and non-breeding males), dark brown back, and pinkish-gray legs. (verified)","Breeds along the Atlantic Coast from Virginia south, through the Gulf of Mexico, Caribbean, and northwestern Brazil, and on the Pacific Coast from southern Baja California south to Peru. (verified)","The Wilson's Plover is a medium-sized shorebird characterized by a heavy, black, thick bill, which distinguishes it from similar plovers. Males possess a black breast band, while females and non-breeding males have a brown band. They are coastal-obligate birds found in the Americas, often feeding on fiddler crabs. (verified)","Breeding typically occurs from March through July, with nests often established by late April. (verified)"
Uncommon,Collared Plover,Anarhynchus collaris,"Wingspan not explicitly reported in standard measurements; in flight, exhibits dark flight feathers with a white wing bar. (verified)",Approximately 18 cm (7.1 inches) in length. (verified),"Small plover (18 cm long). Upperparts are brown, underparts white. Adults have a black breastband, white forehead, chestnut crown and nape, and yellow legs. Lacks the white collar on the back of the neck found in many other small plovers. (verified)","Distributed from central Mexico south through Central America into most of South America, including coastal and inland riverine habitats. (verified)","The Collared Plover is a small shorebird in the family Charadriidae. It is a tropical and subtropical species distributed from central Mexico south through Central America to most of South America. Although found along coasts and estuaries, it is frequently seen on sandy shores of large rivers and lakes inland. It has a chestnut crown and nape, black breastband, and yellow legs. The species is largely sedentary. (verified)","Breeding timing varies by region: November–December in western Mexico, March–June in Costa Rica, January in Venezuela, and March in the lowlands of Ecuador. (verified)"
Rare,Mountain Plover,Anarhynchus montanus,The wingspan of the Mountain Plover is 17.5 to 19.5 inches (44 to 50 cm) (verified).,The Mountain Plover is 8 to 9.5 inches (20 to 24 cm) in length and weighs approximately 3.2 to 4.9 ounces (90 to 140 g) (verified).,"Drably marked with sandy-brown upperparts and whitish underparts; lacks the black breast bands found on many other plovers. Often squats motionless to blend into its environment, a behavior that earned it the nickname ""Prairie Ghost"" (verified).","Breeds on dry tablelands of the western Great Plains (from Alberta/Saskatchewan south to northern Texas and New Mexico); winters in California (especially San Joaquin Valley), southern Texas, and northern Mexico (verified).","First collected by John Kirk Townsend in 1834, this North American endemic is known as the ""Prairie Ghost"" for its ability to disappear by squatting motionless in sparse vegetation. It prefers xeric tablelands, short-grass prairies, and agricultural fields. Though it faced population declines in the late 20th century, it is not currently listed under the Endangered Species Act (verified).","Breeding season typically occurs from mid-April to mid-July. Males claim territories upon arrival in spring (mid-March to mid-April), and females may engage in simultaneous double-clutching, where they lay clutches in two separate nests simultaneously—one tended by the male and one by the female (verified)."
Rare,Snowy Plover,Anarhynchus nivosus,13.4–17.0 inches (34–43.2 cm). (verified),5.9–6.7 inches (15–17 cm) in length. (verified),"Small plover with a horizontal posture, large head, and short, slender, black bill. Breeding adults display a black crown stripe, a dark ear patch, and a partial black or dark brown collar (often incomplete at the chest). The back is pale sandy gray or brownish, and the underparts are white. Nonbreeding birds and juveniles have paler, less distinct facial markings. (verified)","Found primarily on unvegetated to sparsely vegetated coastal beaches and shores of inland alkaline lakes in North America. They can be found year-round along the U.S. Pacific Coast or coastal South Texas, during winter on the Gulf Coast, or on inland breeding sites during summer. (verified)","The Snowy Plover is a small, plump shorebird with a horizontal posture, large head, short neck, and short tail. It is characteristically pale sandy-gray or brownish above and white below, with a black bill and dark gray to black legs. These birds are hardy survivors that forage for invertebrates on ocean beaches and in desolate salt flats and alkaline lakes. They make nearly invisible nests on the ground in sandy habitats, where they are vulnerable to disturbances. Snowy Plovers exhibit a facultative polygamous breeding system, which is most pronounced in areas with long breeding seasons; females may desert their first broods shortly after hatching to nest with a new mate, while males may also raise a second brood if conditions allow. (verified)","The breeding season varies by location; it is generally long in areas where polygamy is common, allowing for multiple broods (sometimes 2–3 per season). In regions with shorter breeding seasons, such as the Great Plains, they typically do not brood twice in a season. (verified)"
Common,Kentish Plover,Anarhynchus alexandrinus,Typically 42 to 45 cm. (verified),Typically 15 to 18 cm in length. (verified),"Small, pale plover with a sandy-brown back and white underparts. Features dark legs, a fine dark bill, and an incomplete dark breast band. Breeding males possess a black forehead bar, black ear coverts, and chestnut on the crown; these markings are less pronounced or absent in females and non-breeding adults. (verified)","Has a vast, cosmopolitan distribution across Europe, Asia, and North Africa, typically inhabiting coastal and inland saline wetlands. (verified)","The Kentish Plover (Anarhynchus alexandrinus) is a small, sexually dimorphic shorebird of the family Charadriidae. It is widely distributed, breeding on the shores of saline lakes, lagoons, and coasts, and populating habitats such as sand dunes, marshes, and semi-arid regions. The species is generally considered of Least Concern globally, though population trends can vary by region. (verified)","The breeding season for the Kentish Plover is flexible and varies significantly by population and region, often spanning several months to allow for multiple clutches. Courtship displays occur to attract mates, and the species may exhibit both monogamous and polygamous pairings. (verified)"
Common,Northern Jacana,Jacana spinosa,The wingspan averages 508 mm (approximately 20 inches). (verified),"The Northern Jacana measures 21.5 to 24 cm (8.5 to 9.4 inches) in length, with females being significantly larger than males. (verified)","Bright-yellow carpal spurs, bill, and frontal shields of the adults contrast sharply with the black head and neck and reddish-brown body. Greatly elongated toes allow the birds to walk on floating vegetation. (verified)",Lowlands of Mexico and Central America from Sinaloa and Tamaulipas to western Panama; sporadically in the U.S. on the coastal plain of Texas. (verified),"The Northern Jacana is a bird species known for its reversed sex roles where males build nests, incubate, and raise young, while females are larger and polyandrous. They inhabit freshwater marshes with floating vegetation and feed on insects and aquatic prey. (verified)","Northern Jacanas are capable of breeding all year long, particularly if water levels remain constant, though they typically breed at the beginning of the rainy season. (verified)"
Common,Wattled Jacana,Jacana jacana,"Not specifically documented as a standard metric in primary literature; however, they exhibit greenish-yellow flight feathers and yellow wing spurs. (verified)","17–23 cm (6.7–9.1 in) long, with females generally larger than males. (verified)","Adults are characterized by a chestnut back and wing coverts (variable by subspecies), black body plumage, and greenish-yellow flight feathers. Key identifiers include a yellow bill, a red coot-like head shield, a reddish wattle at the base of the bill, yellow bony spurs on the wings, and dull blue-grey legs with very long toes. Juveniles have bronzy-brown upperparts with white underparts and an eyebrow. (verified)","Distributed throughout much of South America east of the Andes, as well as western Panama and Trinidad. (verified)","The Wattled Jacana (Jacana jacana) is a wader in the family Jacanidae found in tropical and subtropical South America, Panama, and Trinidad. It is distinct for its exceptionally long toes and claws, which allow it to walk on floating aquatic vegetation. These birds are polyandrous, with females defending territories and breeding with multiple males, while the males handle incubation. (verified)","Breeding occurs in permanent and seasonally flooded freshwater wetlands with floating vegetation. As a polyandrous species, breeding dynamics involve females defending territories of multiple males. (verified)"
Common,Upland Sandpiper,Bartramia longicauda,The average wingspan of the Upland Sandpiper is approximately 18.5 to 26 inches (47 to 66 cm) (verified).,The Upland Sandpiper is approximately 11 to 13 inches (28 to 32 cm) in length (verified).,"The Upland Sandpiper is a medium-sized bird with a small, dove-like head, a long, thin neck, and a long tail, which is proportionally the longest of all North American sandpipers (verified). It has large eyes with a white eye-ring and long, yellowish legs (verified). In flight, its dark primary feathers contrast with the lighter, marbled brown of the rest of the wing (verified). It has a short yellow bill with a black tip (verified).","Breeds across the North American Great Plains, reaching parts of the northeastern United States, southeastern Canada, Alaska, and the Yukon; it winters primarily in the grasslands and agricultural fields of South America, specifically Argentina, Uruguay, Brazil, Paraguay, and Bolivia (verified).","The Upland Sandpiper (Bartramia longicauda) is a medium-sized, primarily terrestrial shorebird known for its unique preference for open grasslands rather than wetlands (verified). Often acting as an indicator species for tall-grass prairie health, it is identified by its dove-like head, long neck, and long tail (verified). Once abundant, it experienced significant population declines due to market hunting in the late 19th century, but populations have shown signs of recovery in many areas (verified). It is a long-distance migrant, breeding in North American grasslands and wintering in the pampas of South America (verified).","Breeding occurs from spring through summer, with arrival on breeding grounds typically in mid-April to early May and departure in late August or September (verified). Courtship and nest building occur in May, with egg-laying and incubation following shortly after (verified). (partially_correct: The original AI-provided text limited the season to ""largely July and August,"" whereas research indicates breeding activities occur from late spring through late summer.)"
Rare,Bristle-thighed Curlew,Numenius tahitiensis,The wingspan is approximately 84 cm (33 inches). (verified),The Bristle-thighed Curlew has a body length of approximately 40–44 cm (16–17 inches). (verified),"The species features a long, decurved bill and elongated bare shafts of the thigh feathers at the base of the legs, which are its namesake. It has a mottled brown upper body with a lighter underbelly and a rust-colored or buffy tail. (verified)",Nests in two areas of western Alaska (Yukon-Kuskokwim Delta and Seward Peninsula) and winters on atolls and small islands in Oceania. (verified),"The Bristle-thighed Curlew (Numenius tahitiensis) is a unique migratory shorebird that nests in remote tundra in western Alaska and winters on atolls and small islands in Oceania. It is known for being the only shorebird that becomes flightless during molt and uses tools when foraging. Its English name comes from the elongated bare shafts of its thigh feathers. The species is capable of incredible nonstop flights of over 6,000 km. Adults arrive on breeding grounds in May and depart in July or August. The total population is estimated at fewer than 10,000 birds. (verified)","Adults arrive on breeding grounds in early to mid-May, and successful adults typically abandon breeding grounds in July or August. (verified)"
Common,Eurasian Whimbrel,Numenius phaeopus,75–90 cm (30–35 in). (verified),37–47 cm (15–19 in) in length. (verified),"Mid-sized wader within the curlew genus with greyish brown plumage. Distinguished by a long, decurved bill with a distinct kink, and a prominent central crown stripe bordered by strong supercilia. In flight, many subspecies display a white back and rump. (verified)","Breeds in boreal and tundra habitats across northern Eurasia, with some populations in the steppes of southwestern Russia and Kazakhstan. Migrates to coastal nonbreeding grounds ranging from Africa through Asia to Australasia. (verified)","The Eurasian Whimbrel is a large shorebird with a broad geographic range. Its four subspecies breed in boreal and tundra habitats across northern Eurasia, with the exception of the rare subspecies alboaxillaris, which breeds on the steppes of southwestern Russia and possibly Kazakhstan. This long-lived wader is monogamous and territorial, with mates sharing the incubation of four eggs laid in a shallow nest scrape. The species is conspicuous during the nesting season, performing display flights accompanied by a bubbling trill call. The Eurasian Whimbrel undertakes a long-distance migration, often including stopovers at food-rich sites, to coastal nonbreeding grounds ranging from Africa through Asia to Australasia. This species feeds primarily on berries and insects during the breeding season and on crabs and other aquatic invertebrates during the nonbreeding season. (verified)","The breeding season typically spans May to August, with egg laying commonly occurring in late May or early June. (verified)"
Common,Little Curlew,Numenius minutus,The average wingspan is 68–71 cm (27–28 in). (verified),The Little Curlew has an average length of 28–32 cm (11–13 in). (verified),"The Little Curlew is the smallest Asian curlew, similar in size to a snipe or greenshank. It is mainly greyish-brown with a white belly, and has a relatively short, gently decurved bill. Its head pattern features crown and superciliary stripes, though it lacks the strong facial contrast of a Whimbrel. It lacks the pale rump of the Eurasian and Far Eastern Curlew. Its flight call is a high-pitched, ringing ""pipipi"". (verified)","Breeds in eastern Siberian larch forest and forest-tundra zones (northern Russia). It winters primarily in northern Australia, with small numbers in Sulawesi and New Guinea. It migrates through Transbaikalia, Mongolia, China, Borneo, the Philippines, and Taiwan. (verified)","The Little Curlew (Numenius minutus) is the smallest species of curlew. It was first described in 1839 and its breeding grounds in northern Russia were discovered in 1885. It has a close relationship with the extinct Eskimo Curlew. It is often called the ""Fire Wader"" by indigenous Yakut people because it favors nesting in recently burned open areas in northern montane larch taiga. It has a modest global population (estimated ca. 180,000–200,000) and is considered Least Concern. It migrates along a narrow corridor through Asia to winter in Australia. (verified)",Breeding takes place in Siberia from late May to early August. Nests are simple scrapes on the ground on well-drained slopes or in sparse larch/dwarf birch woodland. (verified)
Legendary,Eskimo Curlew,Numenius borealis,"While precise contemporary measurements are limited, historical wing chord measurements (a standard proxy for wingspan in ornithology) for this species were approximately 189-226 mm. (verified)",Approximately 30-37 cm (12-14 inches) long. (verified),"Small curlew with a slightly decurved bill; upperparts are mottled brown, underparts are light brown with V-shaped or Y-shaped dark markings on the chest and flanks. Distinguished in flight by cinnamon-colored wing linings and unbarred undersides of the primary feathers. Legs are dull slate or blue-gray. (verified)",Historically nested in the Arctic tundra of Canada (specifically Northwest Territories and Nunavut); migrated through the Great Plains of North America to spend the non-breeding season in the pampas of Argentina and likely parts of Uruguay and southern Brazil. (verified),"The Eskimo Curlew was a medium-sized, highly gregarious shorebird, once numbering in the hundreds of thousands before declining to the point of possible extinction due to market hunting and habitat loss. It is characterized by its mottled brown plumage, rich cinnamon wing linings, and a slender, slightly decurved bill. No confirmed sightings have occurred since 1963, though it remains a subject of extreme conservation concern. (verified)",Historically nested in mid-to-late June with eggs hatching from early to mid-July. (verified)
Uncommon,Long-billed Curlew,Numenius americanus,The average wingspan of the Long-billed Curlew is approximately 24.4 to 35.0 inches (62 to 89 cm) (verified).,The Long-billed Curlew has a length of approximately 19.7 to 25.6 inches (50 to 65 cm) (verified).,"The Long-billed Curlew is distinguished by its remarkably long, downward-curved bill, which is likened to a new crescent moon. It is a large, warm-brown sandpiper with a long neck and small head, lacking strong head stripes. In flight, it reveals bright cinnamon in its wings (verified).","Breeds in the grasslands and prairies of western North America, from central British Columbia and the southern Canadian prairies south through the Great Plains and Great Basin to the western United States. Winters in the southern United States, Mexico, and Central America (verified).","The largest North American shorebird and one of only 9 species of grassland birds considered endemic to the Great Plains, the Long-billed Curlew is a very large sandpiper. It is 50–65 cm (20–26 in) long, with a weight of 490–950 g. Its signature long, downward-curved bill, which rivals the Far Eastern Curlew as the longest of any shorebird, is adapted for probing deep into soil or mud for invertebrates such as earthworms, shrimp, and crabs. It breeds in western North American grasslands and prairies, and performs conspicuous aerial displays during the mating season. Long-billed Curlew populations have declined in parts of its historic range due to habitat loss and historical overharvest, though it is currently classified as Least Concern globally (verified).","Long-billed Curlews breed once per year, arriving on breeding grounds in mid-March. The breeding season typically lasts from late March to late July (verified)."
Rare,Far Eastern Curlew,Numenius madagascariensis,Approximately 110 cm (43 in). (verified),Length is 60–66 cm (24–26 in). (verified),"Largest migratory shorebird and sandpiper; length 60–66 cm. Distinguished by plain, unpatterned brown underwing and brown rump (as opposed to white in related species). Features an extremely long, decurved, dark-brown bill (12.8–20.1 cm) and dull blue-grey legs. Plumage is predominantly brown with darker streaks. (verified)","Breeds in northeastern Asia (Siberia, Kamchatka, Mongolia). Non-breeding range covers coastal Australia, Indonesia, Thailand, Philippines, New Zealand, and occasionally as far north as southern China and Taiwan. (verified)","The Far Eastern Curlew (Numenius madagascariensis) is the world's largest migratory shorebird and sandpiper. It is primarily brown in plumage, distinguishable from other curlews by its plain, unpatterned brown underwing and brown rump. Known for its extremely long, decurved bill, this species breeds in marshy wetlands and lakeshores across northeastern Asia, including Siberia, Kamchatka, and Mongolia. It is a long-distance migrant, with most individuals spending the non-breeding season in coastal Australia, as well as Indonesia, Thailand, the Philippines, and New Zealand. Due to significant population declines, it is listed as Endangered globally and Critically Endangered in Australia. (verified)","The breeding season occurs in the northern summer (May to July) in northeastern Asia, including Siberia, Kamchatka, and Mongolia. (verified)"
